Player,Age,Pos,Games Played,Games Started,Weight,Height,OYA
Walker Little,25,OL,15,8,325,6-7,306.2
Devin Lloyd,26,LB,16,16,235,6-3,306.2
Ross Matiscik,28,LS,17,0,240,6-0,306.2
Ventrell Miller,25,LB,15,9,232,6-0,306.2
Mitch Morse,32,OL,17,17,305,6-6,306.2
Chad Muma,25,LB,17,3,239,6-3,306.2
Foyesade Oluokun,29,LB,13,13,230,6-2,306.2
Esezi Otomewo,26,DT,4,2,282,6-5,306.2
Deantre Prince,24,CB,10,0,183,6-0,306.2
Louis Rees-Zammit,23,WR,0,0,209,6-2,306.2
Josh Reynolds,29,WR,4,1,192,6-3,306.2
Keilan Robinson,24,RB,6,0,191,5-8,306.2
Darnell Savage Jr.,27,S,13,13,198,5-11,306.2
Brandon Scherff,33,OL,17,17,315,6-5,306.2
Maason Smith,22,DT,11,5,306,6-5,306.2
Brenton Strange,24,TE,17,10,253,6-4,306.2
Brian Thomas,22,WR,17,16,209,6-3,306.2
Daniel Thomas,26,S,15,0,215,5-10,306.2
Cole Van Lanen,26,OL,9,3,312,6-5,306.2
Travon Walker,24,DE,17,17,272,6-5,306.2
Parker Washington,22,WR,17,7,204,5-10,306.2
David White,24,WR,0,0,201,6-2,306.2
Andrew Wingard,28,S,8,2,200,6-0,306.2
John Wolford,29,QB,0,0,218,6-1,306.2
Shawn Bowman (FRES),24,TE,0,0,249,6-4,306.2
Christian Braswell (FRES),25,CB,3,0,185,5-11,306.2
Joshua Cephus (FRES),23,WR,1,0,193,6-2,306.2
Dennis Daley (FRES),28,OL,0,0,325,6-6,306.2
Dieter Eiselen (FRES),28,OL,0,0,300,6-4,306.2
Zech McPhearson (FRES),26,CB,0,0,191,5-11,306.2
Austin Trammell (FRES),26,WR,1,0,185,5-10,306.2
Chidobe Awuzie,29,CB,8,7,202,6-0,304.2
Darrell Baker,26,CB,17,9,190,6-1,304.2
Jerome Baker,28,LB,5,3,232,6-2,304.2
Tyler Boyd,30,WR,16,8,203,6-2,304.2
Kendell Brooks,24,S,5,0,206,6-0,304.2
Mike Brown,25,S,17,4,218,6-1,304.2
Jarvis Brownlee,23,CB,17,14,194,5-10,304.2
Daniel Brunskill,30,OL,17,10,300,6-5,304.2
Logan Bruss,26,OG,3,0,317,6-5,304.2
Treylon Burks,24,WR,5,2,225,6-2,304.2
Chance Campbell,25,LB,0,0,232,6-2,304.2
Julius Chestnut,24,RB,17,0,228,5-11,304.2
Keondre Coburn,24,DL,15,1,332,6-2,304.2
Morgan Cox,38,LS,17,0,233,6-4,304.2
Lloyd Cushenberry III,27,C,8,8,315,6-4,304.2
Marlon Davidson,26,DT,0,0,303,6-3,304.2
Quandre Diggs,31,FS,8,8,197,5-9,304.2
Colton Dowell,25,WR,0,0,212,6-3,304.2
Khalid Duke,23,OLB,2,0,246,6-3,304.2
Jaelyn Duncan,24,OT,5,3,306,6-6,304.2
Nick Folk,40,K,14,0,225,6-1,304.2
Ali Gaye,26,OLB,15,0,265,6-6,304.2
Jack Gibbens,26,LB,10,5,242,6-3,304.2
Luke Gifford,29,LB,16,4,243,6-3,304.2
Cedric Gray,22,LB,7,0,234,6-2,304.2
Arlington Hambright,28,G,4,0,300,6-5,304.2
Justin Hardee,30,CB,9,0,200,6-1,304.2
Jaylen Harrell,22,OLB,17,0,247,6-4,304.2
Amani Hooker,26,S,14,14,210,5-11,304.2
Jha'Quan Jackson,24,WR,12,0,188,5-9,304.2
Sebastian Joseph-Day,29,DL,17,12,310,6-4,304.2
Joshua Kelley,27,RB,3,0,212,5-11,304.2
Arden Key,28,OLB,16,15,240,6-5,304.2
Mason Kinsey,26,WR,6,0,200,5-11,304.2
Harold Landry,28,OLB,17,17,252,6-2,304.2
JC Latham,21,OT,17,17,342,6-6,304.2
Corey Levin,30,OL,10,1,307,6-4,304.2
Will Levis,25,QB,12,12,229,6-4,304.2
James Lynch,25,DL,17,0,295,6-4,304.2
Tay Martin,27,WR,1,0,185,6-3,304.2
David Martin-Robinson,25,TE,5,2,247,6-3,304.2
Roger McCreary,24,CB,15,7,190,5-11,304.2
TK McLendon,24,DE,0,0,275,6-4,304.2
Raekwon McMillan,29,LB,2,0,250,6-2,304.2
Kenneth Murray,26,LB,14,14,241,6-2,304.2
John Ojukwu,25,OL,11,4,309,6-5,304.2
Chigoziem Okonkwo,25,TE,17,11,238,6-3,304.2
Bryce Oliver,24,WR,10,1,214,6-1,304.2
Nicholas Petit-Frere,25,OL,15,10,316,6-5,304.2
Tony Pollard,27,RB,16,16,209,6-0,304.2
Dillon Radunz,26,OL,15,15,301,6-6,304.2
Otis Reese,26,LB,13,2,214,6-3,304.2
Calvin Ridley,30,WR,17,14,190,6-1,304.2
Mason Rudolph,29,QB,8,5,235,6-5,304.2
Andrew Rupcich,25,OL,7,0,318,6-6,304.2
Jeffery Simmons,27,DT,16,16,305,6-4,304.2
Peter Skoronski,23,OL,17,17,313,6-4,304.2
L'Jarius Sneed,27,CB,5,5,192,6-1,304.2
Tyjae Spears,23,RB,12,1,195,5-11,304.2
Ryan Stonehouse,25,P,17,0,193,5-10,304.2
T'Vondre Sweat,23,NT,17,16,366,6-4,304.2
Nick Vannett,31,TE,17,10,257,6-5,304.2
Garret Wallow,25,LB,0,0,230,6-2,304.2
Nick Westbrook-Ikhine,27,WR,17,9,211,6-2,304.2
Josh Whyle,25,TE,17,4,248,6-6,304.2
James Williams,21,LB,13,1,231,6-4,304.2
Daryl Worley,29,CB,9,7,210,6-1,304.2
Julius Wood (SUS),23,S,9,0,193,6-1,304.2
McTelvin Agim (FRES),27,DT,0,0,300,6-3,304.2
Abdullah Anderson (FRES),28,DL,4,0,295,6-4,304.2
Curtis Bolton (FRES),29,LB,0,0,228,6-0,304.2
Chandler Brewer (FRES),27,OT,1,0,320,6-6,304.2
Isaiah Iton (FRES),23,DL,0,0,277,6-2,304.2
Gabe Jeudy-Lally (FRES),23,CB,4,0,189,6-1,304.2
Kyron Johnson (FRES),26,LB,0,0,235,6-0,304.2
Stanley Morgan Jr. (FRES),28,WR,0,0,205,6-0,304.2
Thomas Odukoya (FRES),27,TE,2,0,253,6-6,304.2
Gervarrius Owens (FRES),25,S,2,0,200,6-0,304.2
Isaiah Prince (FRES),27,T,1,0,305,6-7,304.2
Jabari Small (FRES),22,RB,0,0,198,5-9,304.2
Nelson Agholor,31,WR,14,7,200,6-0,424.9
Rasheen Ali,23,RB,6,0,212,5-11,424.9
Mark Andrews,29,TE,17,13,250,6-5,424.9
Jalyn Armour-Davis,25,CB,7,2,197,6-1,424.9
Rashod Bateman,25,WR,17,14,195,6-1,424.9
Chris Board,29,LB,17,1,240,6-2,424.9
Beau Brade,22,S,11,0,209,6-0,424.9
Ben Cleveland,26,G,17,0,360,6-6,424.9
Daniel Faalele,25,T,17,17,380,6-6,424.9
Zay Flowers,24,WR,17,15,175,5-9,424.9
Kyle Hamilton,23,S,17,17,220,6-4,424.9
Malik Hamm,24,OLB,0,0,254,6-3,424.9
Malik Harrison,26,LB,15,7,255,6-3,424.9
Deonte Harty,27,WR,5,0,170,5-6,424.9
Derrick Henry,30,RB,17,17,247,6-2,424.9
Justice Hill,27,RB,15,0,195,5-10,424.9
Marlon Humphrey,28,CB,16,16,203,6-0,424.9
Adisa Isaac,23,OLB,4,0,253,6-4,424.9
Lamar Jackson,27,QB,17,17,205,6-2,424.9
Diontae Johnson,28,WR,4,1,183,5-10,424.9
Josh Johnson,38,QB,6,0,214,6-3,424.9
Josh Jones,27,OL,16,0,339,6-5,424.9
Travis Jones,25,DT,17,15,338,6-4,424.9
Sanoussi Kane,23,S,15,0,210,5-11,424.9
Charlie Kolar,25,TE,13,3,267,6-6,424.9
Isaiah Likely,24,TE,16,9,247,6-4,424.9
Tyler Linderbaum,24,C,17,17,314,6-2,424.9
Nnamdi Madubuike,27,DT,17,17,305,6-3,424.9
Christian Matthew,28,CB,0,0,197,6-2,424.9
Arthur Maulet,31,CB,3,0,190,5-9,424.9
Patrick Mekari,27,OL,17,17,305,6-4,424.9
Keaton Mitchell,22,RB,5,0,191,5-8,424.9
Nick Moore,32,LS,17,0,260,6-2,424.9
Trayvon Mullen,27,CB,0,0,194,6-2,424.9
David Ojabo,24,OLB,13,0,252,6-4,424.9
Odafe Oweh,26,OLB,17,10,255,6-5,424.9
Michael Pierce,32,NT,11,1,355,6-0,424.9
Patrick Ricard,30,FB,17,6,300,6-3,424.9
Tavius Robinson,25,OLB,17,7,262,6-6,424.9
Roger Rosengarten,22,OT,17,14,316,6-5,424.9
Nick Samac,23,C,0,0,314,6-4,424.9
Trenton Simpson,23,LB,17,13,235,6-2,424.9
Steven Sims,27,WR,2,0,176,5-10,424.9
Roquan Smith,27,LB,16,16,230,6-1,424.9
Ronnie Stanley,30,T,17,17,310,6-6,424.9
Brandon Stephens,27,DB,17,17,215,6-1,424.9
Jordan Stout,26,P,17,0,209,6-3,424.9
T.J. Tampa,22,CB,7,0,199,6-1,424.9
Justin Tucker,35,K,17,0,191,6-1,424.9
Brent Urban,33,DL,13,0,309,6-7,424.9
Kyle Van Noy,33,OLB,16,13,255,6-3,424.9
Andrew Vorhees,25,OL,15,3,320,6-6,424.9
Devontez Walker,23,WR,9,0,198,6-1,424.9
Tylan Wallace,25,WR,17,0,202,5-11,424.9
Ar'Darius Washington,25,S,17,10,180,5-8,424.9
Broderick Washington Jr.,28,DT,15,5,315,6-2,424.9
Kristian Welch,26,LB,9,1,240,6-3,424.9
Tre'Davious White,29,CB,7,0,196,5-9,424.9
Nate Wiggins,21,CB,15,6,182,6-1,424.9
Marcus Williams,28,S,11,9,204,6-1,424.9
Owen Wright,25,RB,0,0,217,5-9,424.9
Qadir Ismail (PRA_),27,TE,0,0,215,6-6,424.9
Corey Bullock (FRES),23,OT,0,0,314,6-3,424.9
Malik Cunningham (FRES),26,WR,0,0,186,6-1,424.9
Darrian Dalcourt (FRES),24,G,0,0,320,6-3,424.9
Keith Kirkwood (FRES),30,WR,0,0,210,6-3,424.9
William Kwenkeu (FRES),27,LB,2,0,235,6-1,424.9
Devin Leary (FRES),25,QB,0,0,216,6-1,424.9
Anthony Miller (FRES),30,WR,2,0,190,5-11,424.9
Zaire Mitchell-Paden (FRES),25,TE,0,0,257,6-5,424.9
Adedayo Odeleye (FRES),27,DE,0,0,271,6-5,424.9
CJ Okoye (FRES),23,DT,0,0,315,6-6,424.9
C.J. Ravenell (FRES),24,DE,0,0,292,6-5,424.9
Dayton Wade (FRES),24,WR,0,0,184,5-9,424.9
Montravius Adams,29,DT,11,0,304,6-4,319.4
Kyle Allen,28,QB,1,0,210,6-3,319.4
Calvin Anderson,28,OT,4,0,305,6-5,319.4
Spencer Anderson,24,OL,17,4,305,6-5,319.4
Calvin Austin III,25,WR,17,8,162,5-9,319.4
Keeanu Benton,23,DL,17,14,309,6-4,319.4
Beanie Bishop,25,CB,17,6,182,5-9,319.4
Chris Boswell,33,K,17,0,185,6-2,319.4
James Daniels,27,OL,4,4,327,6-4,319.4
DeShon Elliott,27,S,15,14,210,6-0,319.4
Troy Fautanu,24,OT,1,1,317,6-4,319.4
Justin Fields,25,QB,10,6,227,6-3,319.4
Minkah Fitzpatrick,28,S,17,17,207,6-1,319.4
Zach Frazier,23,C,15,15,310,6-3,319.4
Pat Freiermuth,26,TE,17,11,258,6-5,319.4
Najee Harris,26,RB,17,17,242,6-1,319.4
C.J. Henderson,26,CB,0,0,205,6-1,319.4
Nate Herbig,26,G,0,0,334,6-4,319.4
Nick Herbig,23,LB,13,5,240,6-2,319.4
Cameron Heyward,35,DT,17,17,295,6-5,319.4
Connor Heyward,25,TE,17,5,230,6-0,319.4
Alex Highsmith,27,LB,11,11,242,6-4,319.4
Cole Holcomb,28,LB,0,0,240,6-1,319.4
Donte Jackson,29,CB,15,15,180,5-10,319.4
Van Jefferson,28,WR,17,12,200,6-1,319.4
Cameron Johnston,32,P,1,0,194,5-11,319.4
Broderick Jones,23,OT,17,16,311,6-5,319.4
Damontae Kazee,31,S,15,1,174,5-11,319.4
Miles Killebrew,31,S,17,0,222,6-2,319.4
Christian Kuntz,30,LS,17,0,228,6-1,319.4
DeMarvin Leal,24,DE,5,0,290,6-4,319.4
Logan Lee,24,DT,0,0,286,6-5,319.4
Isaiahh Loudermilk,27,DT,16,0,293,6-7,319.4
Dean Lowry,30,DT,12,1,296,6-6,319.4
Tyler Matakevich,32,LB,11,0,235,6-1,319.4
Ryan McCollum,26,C,17,2,300,6-5,319.4
Mason McCormick,24,G,17,14,315,6-5,319.4
Jeremiah Moon,26,LB,13,1,247,6-5,319.4
Dan Moore,26,OT,17,17,315,6-5,319.4
Larry Ogunjobi,30,DT,15,12,305,6-3,319.4
Cordarrelle Patterson,33,RB,13,1,220,6-2,319.4
George Pickens,23,WR,14,12,200,6-3,319.4
James Pierre,28,CB,15,2,185,6-2,319.4
Joey Porter Jr.,24,CB,16,16,193,6-2,319.4
MyCole Pruitt,32,TE,12,5,258,6-2,319.4
Patrick Queen,25,LB,17,17,232,6-0,319.4
Elandon Roberts,30,LB,17,14,238,6-1,319.4
Mark Robinson,25,LB,17,0,235,5-11,319.4
Max Scharping,28,G,2,0,325,6-6,319.4
Isaac Seumalo,31,G,13,13,303,6-4,319.4
Ben Skowronek,27,WR,10,1,224,6-3,319.4
Cameron Sutton,29,CB,9,2,188,5-11,319.4
Cory Trice,24,CB,6,1,206,6-3,319.4
Corliss Waitman,29,P,16,0,210,6-2,319.4
Jaylen Warren,26,RB,15,0,215,5-8,319.4
Darnell Washington,23,TE,17,9,264,6-7,319.4
T.J. Watt,30,LB,17,17,252,6-4,319.4
Ryan Watts,23,DB,0,0,212,6-3,319.4
Mike Williams,30,WR,9,2,218,6-4,319.4
Payton Wilson,24,LB,17,4,242,6-4,319.4
Roman Wilson,23,WR,1,0,186,5-10,319.4
Russell Wilson,36,QB,11,11,206,5-11,319.4
Joshuah Bledsoe (FRES),26,DB,0,0,207,5-11,319.4
Dylan Cook (FRES),26,OT,0,0,305,6-6,319.4
Domenique Davis (FRES),28,DT,0,0,326,6-2,319.4
Zyon Gilbert (FRES),25,CB,0,0,193,6-0,319.4
Devin Harper (FRES),26,LB,0,0,238,6-0,319.4
Evan Hull (FRES),24,RB,0,0,209,5-10,319.4
D'Shawn Jamison (FRES),25,CB,0,0,186,5-9,319.4
Brandon Johnson (FRES),26,WR,3,0,195,6-2,319.4
Steven Jones (FRES),24,G,0,0,342,6-5,319.4
Eku Leota (FRES),25,LB,1,0,252,6-3,319.4
Cameron McCutcheon (FRES),24,DB,0,0,200,6-1,319.4
Lance McCutcheon (FRES),25,WR,0,0,202,6-3,319.4
Kyler McMichael (FRES),24,CB,0,0,210,6-0,319.4
Doug Nester (FRES),24,OG,0,0,306,6-6,319.4
Thomas Rush (FRES),24,OLB,0,0,251,6-3,319.4
Aaron Shampklin (FRES),25,RB,3,0,195,5-10,319.4
Jacob Slade (FRES),24,DT,0,0,305,6-4,319.4
Skylar Thompson (FRES),27,QB,0,0,210,6-2,319.4
Jonathan Ward (FRES),27,RB,4,0,202,6-0,319.4
Cal Adomitis,26,LS,17,0,238,6-2,365.5
Erick All,24,TE,9,6,253,6-5,365.5
Tycen Anderson,25,S,17,0,209,6-2,365.5
Daijahn Anthony,24,S,13,0,195,6-0,365.5
Joe Bachie,26,LB,12,0,235,6-2,365.5
Jordan Battle,24,S,17,6,210,6-1,365.5
Vonn Bell,30,S,17,11,205,5-11,365.5
Chase Brown,24,RB,16,10,211,5-10,365.5
Orlando Brown Jr.,28,OT,11,11,345,6-8,365.5
Trent Brown,31,OT,3,3,380,6-8,365.5
Jake Browning,28,QB,3,0,209,6-2,365.5
Joe Burrow,28,QB,17,17,215,6-4,365.5
Jermaine Burton,23,WR,14,1,200,6-0,365.5
Alex Cappa,29,G,17,17,310,6-6,365.5
Ja'Marr Chase,24,WR,17,16,201,6-0,365.5
Devin Cochran,26,OT,9,1,310,6-7,365.5
Akeem Davis-Gaither,27,LB,17,7,228,6-2,365.5
Chris Evans,27,RB,0,0,215,5-11,365.5
Cody Ford,28,G,16,9,329,6-3,365.5
Mike Gesicki,29,TE,17,3,252,6-6,365.5
Cam Grandy,24,TE,8,6,253,6-5,365.5
Trey Hendrickson,30,DE,17,17,270,6-4,365.5
Khalil Herbert,26,RB,8,1,212,5-9,365.5
Shaka Heyward,24,LB,6,0,238,6-3,365.5
Tee Higgins,25,WR,12,9,219,6-4,365.5
B.J. Hill,29,DT,15,15,311,6-3,365.5
Daxton Hill,24,CB,5,5,191,6-0,365.5
Mike Hilton,30,CB,16,10,184,5-9,365.5
Sam Hubbard,29,DE,14,14,265,6-5,365.5
Tanner Hudson,30,TE,11,0,239,6-5,365.5
Andrei Iosivas,25,WR,17,8,205,6-3,365.5
DJ Ivey,24,CB,11,0,192,6-1,365.5
McKinnley Jackson,23,DT,13,1,331,6-2,365.5
Kris Jenkins,23,DT,15,9,305,6-3,365.5
Cedric Johnson,22,DE,9,0,260,6-3,365.5
Charlie Jones,26,WR,8,0,183,6-0,365.5
Ted Karras,31,C,17,17,310,6-4,365.5
Jaxson Kirkland,26,G,2,0,328,6-7,365.5
Matt Lee,23,C,17,1,301,6-4,365.5
Tanner McLachlan,25,TE,2,0,244,6-5,365.5
Evan McPherson,25,K,12,0,185,5-11,365.5
Kendall Milton,22,RB,2,0,232,6-1,365.5
Amarius Mims,22,OT,15,13,340,6-8,365.5
Zack Moss,27,RB,8,6,215,5-10,365.5
Myles Murphy,22,DE,13,0,270,6-5,365.5
Josh Newton,24,CB,17,6,190,5-11,365.5
Maema Njongmeta,23,LB,17,1,230,6-0,365.5
Joseph Ossai,24,DE,17,3,263,6-4,365.5
Germaine Pratt,28,LB,17,17,250,6-3,365.5
Sheldon Rankins,30,DT,7,7,305,6-2,365.5
Ryan Rehkow,26,P,17,0,235,6-4,365.5
Lance Robinson,24,CB,0,0,185,5-10,365.5
Cameron Sample,25,DE,0,0,272,6-3,365.5
Drew Sample,28,TE,17,15,255,6-5,365.5
D'Ante Smith,26,OT,0,0,309,6-5,365.5
Geno Stone,25,S,17,17,210,5-11,365.5
Andrew Stueber,25,OT,7,0,338,6-7,365.5
Cam Taylor-Britt,25,CB,17,17,202,5-11,365.5
Isaiah Thomas,26,DE,0,0,266,6-5,365.5
Jay Tufele,25,DT,13,3,305,6-3,365.5
DJ Turner,24,CB,11,6,180,5-11,365.5
Cordell Volson,26,G,17,15,315,6-6,365.5
Isaiah Williams,23,WR,6,0,186,5-10,365.5
Trayveon Williams,27,RB,17,0,206,5-8,365.5
Logan Wilson,28,LB,11,11,245,6-2,365.5
Marco Wilson,25,CB,6,0,191,6-0,365.5
Cade York,23,K,5,0,206,6-1,365.5
Micah Abraham (FRES),24,CB,0,0,185,5-10,365.5
Gary Brightwell (FRES),25,RB,0,0,220,6-1,365.5
Nate Brooks (FRES),28,CB,0,0,192,6-0,365.5
Cole Burgess (FRES),24,WR,0,0,198,6-1,365.5
Andrew Coker (FRES),23,OT,0,0,315,6-7,365.5
Jalen Davis (FRES),28,CB,2,0,190,5-10,365.5
Raymond Johnson (FRES),26,DE,0,0,260,6-3,365.5
PJ Jules (FRES),23,S,0,0,203,6-0,365.5
Jaylen Key (FRES),24,S,0,0,210,6-2,365.5
Tashawn Manning (FRES),26,G,0,0,335,6-3,365.5
Kendric Pryor (FRES),26,WR,1,0,189,5-11,365.5
Mitchell Tinsley (FRES),25,WR,0,0,205,6-1,365.5
Craig Young (FRES),23,LB,0,0,226,6-3,365.5
Hakeem Adeniji,27,T,0,0,315,6-4,300.8
Jordan Akins,32,TE,17,6,245,6-4,300.8
Chigozie Anusiem,24,CB,1,0,200,6-1,300.8
Brenden Bates,25,TE,2,0,255,6-5,300.8
D'Anthony Bell,28,S,17,1,211,6-1,300.8
David Bell,24,WR,1,0,212,6-1,300.8
Joel Bitonio,33,G,17,17,320,6-4,300.8
Corey Bojorquez,28,P,17,0,217,6-0,300.8
Jowon Briggs,23,DT,6,0,313,6-1,300.8
Tony Brown,29,DB,6,0,200,6-0,300.8
Devin Bush Jr.,26,LB,16,10,235,5-11,300.8
Geron Christian,28,OT,4,0,315,6-5,300.8
Nick Chubb,29,RB,8,8,227,5-11,300.8
Jack Conklin,30,T,12,12,308,6-6,300.8
Kaden Davis,26,WR,1,0,193,6-1,300.8
Grant Delpit,26,S,16,16,208,6-3,300.8
Mohamoud Diabate,23,LB,13,11,225,6-4,300.8
Michael Dunn,30,G,13,3,315,6-5,300.8
Michael Dwumfour,26,DT,1,0,296,6-1,300.8
Chris Edmonds,23,DB,2,0,210,6-2,300.8
Martin Emerson,24,CB,17,15,201,6-2,300.8
Jerome Ford,25,RB,14,6,210,5-10,300.8
Mike Ford,29,CB,17,0,195,6-0,300.8
D'Onta Foreman,28,RB,11,3,235,6-0,300.8
Myles Garrett,29,DE,17,17,272,6-4,300.8
Michael Hall,21,DT,8,3,300,6-3,300.8
Myles Harden,23,CB,4,0,195,5-11,300.8
Nick Harris,26,C,5,2,293,6-1,300.8
Shelby Harris,33,DT,14,13,288,6-2,300.8
Ronnie Hickman,23,S,14,5,209,6-1,300.8
Jordan Hicks,32,LB,12,12,235,6-1,300.8
Dustin Hopkins,34,K,16,0,210,6-2,300.8
James Houston,26,DE,3,0,245,6-1,300.8
James Hudson,25,T,4,3,313,6-5,300.8
Khaleke Hudson,27,OLB,16,0,220,6-0,300.8
Charley Hughlett,34,LS,5,0,248,6-4,300.8
Maurice Hurst Jr.,29,DT,8,2,290,6-2,300.8
Germain Ifedi,30,OG,15,7,325,6-5,300.8
Jerry Jeudy,25,WR,17,16,195,6-1,300.8
Dawand Jones,23,T,10,8,374,6-8,300.8
Sam Kamara,27,DE,11,1,272,6-0,300.8
John Kelly,28,RB,0,0,205,5-10,300.8
Isaiah McGuire,23,DE,16,3,268,6-4,300.8
Rodney McLeod,34,S,17,5,185,5-10,300.8
Cameron Mitchell,23,CB,17,1,191,5-11,300.8
Elijah Moore,24,WR,17,13,180,5-10,300.8
Greg Newsome II,24,CB,13,3,192,6-0,300.8
David Njoku,28,TE,11,11,246,6-4,300.8
Ogbonnia Okoronkwo,29,DE,16,5,250,6-2,300.8
Jeremiah Owusu-Koramoah,25,LB,8,8,221,6-2,300.8
Ethan Pocic,29,C,16,16,320,6-6,300.8
James Proche,28,WR,9,0,193,5-11,300.8
Winston Reid,25,OLB,16,3,225,6-0,300.8
Pierre Strong,26,RB,14,0,215,5-11,300.8
Rex Sunahara,28,LS,12,0,242,6-6,300.8
Geoff Swaim,31,TE,8,2,260,6-4,300.8
Wyatt Teller,30,G,13,13,315,6-4,300.8
Cameron Thomas,24,DE,5,0,267,6-4,300.8
Dorian Thompson-Robinson,25,QB,7,2,203,6-2,300.8
Juan Thornhill,29,S,11,11,205,6-0,300.8
Jamari Thrash,24,WR,9,0,190,6-0,300.8
Cedric Tillman,24,WR,11,6,215,6-3,300.8
Dalvin Tomlinson,30,DT,16,16,325,6-3,300.8
Denzel Ward,27,CB,16,16,190,5-11,300.8
Deshaun Watson,29,QB,7,7,223,6-3,300.8
Nathaniel Watson,24,LB,14,1,233,6-0,300.8
Blake Whiteheart,24,TE,11,2,247,6-4,300.8
Jedrick Wills Jr.,25,T,5,4,307,6-4,300.8
Jameis Winston,30,QB,12,7,230,6-4,300.8
Michael Woods II,24,WR,5,2,204,6-1,300.8
Alex Wright,24,DE,4,0,267,6-5,300.8
Luke Wypler,23,C,0,0,303,6-3,300.8
Bailey Zappe,25,QB,1,1,215,6-1,300.8
Zak Zinter,23,G,17,3,310,6-6,300.8
Javion Cohen (FRES),22,G,1,0,322,6-4,300.8
Trey Dean (FRES),24,S,0,0,200,6-2,300.8
Troy Hairston (FRES),26,FB,0,0,245,5-11,300.8
Marcus Haynes (FRES),26,LB,0,0,240,6-4,300.8
Ralph Holley (FRES),25,DT,0,0,285,6-1,300.8
Brady Latham (FRES),,G,0,0,312,6-5,300.8
Roy Mbaeteka (FRES),24,OT,0,0,330,6-6,300.8
Tre' McKitty (FRES),25,TE,0,0,246,6-4,300.8
Julian Pearl (FRES),25,T,0,0,325,6-6,300.8
Elerson Smith (FRES),26,DE,2,0,245,6-7,300.8
Andre Szmyt (FRES),26,K,0,0,200,6-0,300.8
Lorenzo Thompson (FRES),24,OL,0,0,305,6-6,300.8
