Player,Age,Pos,GP,GS,Weight,Height,OYA,AYD
Greg Newsome II,24,CB,13,3,192,6-0,300.8,0
David Njoku,28,TE,11,11,246,6-4,300.8,505
Ogbonnia Okoronkwo,29,DE,16,5,250,6-2,300.8,0
Jeremiah Owusu-Koramoah,25,LB,8,8,221,6-2,300.8,0
Ethan Pocic,29,C,16,16,320,6-6,300.8,0
James Proche,28,WR,9,0,193,5-11,300.8,21
Winston Reid,25,OLB,16,3,225,6-0,300.8,0
Pierre Strong,26,RB,14,0,215,5-11,300.8,108
Rex Sunahara,28,LS,12,0,242,6-6,300.8,0
Geoff Swaim,31,TE,8,2,260,6-4,300.8,7
Wyatt Teller,30,G,13,13,315,6-4,300.8,0
Cameron Thomas,24,DE,5,0,267,6-4,300.8,0
Dorian Thompson-Robinson,25,QB,7,2,203,6-2,300.8,440
Juan Thornhill,29,S,11,11,205,6-0,300.8,0
Jamari Thrash,24,WR,9,0,190,6-0,300.8,22
Cedric Tillman,24,WR,11,6,215,6-3,300.8,339
Dalvin Tomlinson,30,DT,16,16,325,6-3,300.8,0
Denzel Ward,27,CB,16,16,190,5-11,300.8,0
Deshaun Watson,29,QB,7,7,223,6-3,300.8,1148
Nathaniel Watson,24,LB,14,1,233,6-0,300.8,0
Blake Whiteheart,24,TE,11,2,247,6-4,300.8,51
Jedrick Wills Jr.,25,T,5,4,307,6-4,300.8,0
Jameis Winston,30,QB,12,7,230,6-4,300.8,2121
Michael Woods II,24,WR,5,2,204,6-1,300.8,65
Alex Wright,24,DE,4,0,267,6-5,300.8,0
Luke Wypler,23,C,0,0,303,6-3,300.8,0
Bailey Zappe,25,QB,1,1,215,6-1,300.8,170
Zak Zinter,23,G,17,3,310,6-6,300.8,0
Javion Cohen (FRES),22,G,1,0,322,6-4,300.8,0
Trey Dean (FRES),24,S,0,0,200,6-2,300.8,0
Troy Hairston (FRES),26,FB,0,0,245,5-11,300.8,0
Marcus Haynes (FRES),26,LB,0,0,240,6-4,300.8,0
Ralph Holley (FRES),25,DT,0,0,285,6-1,300.8,0
Brady Latham (FRES),,G,0,0,312,6-5,300.8,0
Roy Mbaeteka (FRES),24,OT,0,0,330,6-6,300.8,0
Tre' McKitty (FRES),25,TE,0,0,246,6-4,300.8,117
Julian Pearl (FRES),25,T,0,0,325,6-6,300.8,0
Elerson Smith (FRES),26,DE,2,0,245,6-7,300.8,0
Andre Szmyt (FRES),26,K,0,0,200,6-0,300.8,0
Lorenzo Thompson (FRES),24,OL,0,0,305,6-6,300.8,0
